CATEGORIES,Price_Type,Value_Type,MonthNum,Year,Month_Name,Date,Sales_R_Millions
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,3,2017,March,2017-03-01,2871
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,4,2017,April,2017-04-01,2723
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,5,2017,May,2017-05-01,2823
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,6,2017,June,2017-06-01,2939
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,7,2017,July,2017-07-01,3173
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,8,2017,August,2017-08-01,3092
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,9,2017,September,2017-09-01,3022
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,10,2017,October,2017-10-01,3139
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,11,2017,November,2017-11-01,3880
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,12,2017,December,2017-12-01,5079
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,1,2018,January,2018-01-01,3097
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,2,2018,February,2018-02-01,2914
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,3,2018,March,2018-03-01,3380
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,4,2018,April,2018-04-01,2963
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,5,2018,May,2018-05-01,3276
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,6,2018,June,2018-06-01,3194
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,7,2018,July,2018-07-01,3362
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,8,2018,August,2018-08-01,3330
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,9,2018,September,2018-09-01,3284
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,10,2018,October,2018-10-01,3540
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,11,2018,November,2018-11-01,4410
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,12,2018,December,2018-12-01,5053
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,1,2019,January,2019-01-01,3027
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,2,2019,February,2019-02-01,2973
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,3,2019,March,2019-03-01,3389
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,4,2019,April,2019-04-01,3198
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,5,2019,May,2019-05-01,3335
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,6,2019,June,2019-06-01,3365
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,7,2019,July,2019-07-01,3472
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,8,2019,August,2019-08-01,3471
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,9,2019,September,2019-09-01,3337
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,10,2019,October,2019-10-01,3639
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,11,2019,November,2019-11-01,4538
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,12,2019,December,2019-12-01,5195
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,1,2020,January,2020-01-01,3213
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,2,2020,February,2020-02-01,3109
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,3,2020,March,2020-03-01,3059
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,4,2020,April,2020-04-01,424
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,5,2020,May,2020-05-01,2539
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,6,2020,June,2020-06-01,4036
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,7,2020,July,2020-07-01,3950
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,8,2020,August,2020-08-01,3943
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,9,2020,September,2020-09-01,3628
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,10,2020,October,2020-10-01,3942
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,11,2020,November,2020-11-01,4909
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,12,2020,December,2020-12-01,5399
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,1,2021,January,2021-01-01,3585
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,2,2021,February,2021-02-01,3641
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,3,2021,March,2021-03-01,3882
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,4,2021,April,2021-04-01,3558
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,5,2021,May,2021-05-01,3889
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,6,2021,June,2021-06-01,3722
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,7,2021,July,2021-07-01,3572
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,8,2021,August,2021-08-01,3744
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,9,2021,September,2021-09-01,3652
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,10,2021,October,2021-10-01,3904
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,11,2021,November,2021-11-01,5048
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,12,2021,December,2021-12-01,5461
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,1,2022,January,2022-01-01,3625
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,2,2022,February,2022-02-01,3704
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,3,2022,March,2022-03-01,4111
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,4,2022,April,2022-04-01,3736
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,5,2022,May,2022-05-01,3769
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,6,2022,June,2022-06-01,3668
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,7,2022,July,2022-07-01,3857
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,8,2022,August,2022-08-01,3801
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,9,2022,September,2022-09-01,3672
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,10,2022,October,2022-10-01,3895
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,11,2022,November,2022-11-01,5328
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,12,2022,December,2022-12-01,5331
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,1,2023,January,2023-01-01,3546
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,2,2023,February,2023-02-01,3615
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,3,2023,March,2023-03-01,3940
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,4,2023,April,2023-04-01,3553
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,5,2023,May,2023-05-01,3594
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,6,2023,June,2023-06-01,3717
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,7,2023,July,2023-07-01,3861
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,8,2023,August,2023-08-01,3733
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,9,2023,September,2023-09-01,3631
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,10,2023,October,2023-10-01,3624
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,11,2023,November,2023-11-01,5144
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,12,2023,December,2023-12-01,5558
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,1,2024,January,2024-01-01,3619
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,2,2024,February,2024-02-01,3738
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,3,2024,March,2024-03-01,3977
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,4,2024,April,2024-04-01,3627
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,5,2024,May,2024-05-01,3828
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,6,2024,June,2024-06-01,3940
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,7,2024,July,2024-07-01,4190
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,8,2024,August,2024-08-01,4144
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,9,2024,September,2024-09-01,4054
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,10,2024,October,2024-10-01,4176
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,11,2024,November,2024-11-01,5518
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,12,2024,December,2024-12-01,5816
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,1,2025,January,2025-01-01,3906
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,2,2025,February,2025-02-01,3957
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,3,2025,March,2025-03-01,4174
"Retailers in household furniture,appliances and equipment",At constant prices,Actual values,4,2025,April,2025-04-01,3961
"Retailers in hardware,paint and glass",At constant prices,Actual values,1,2008,January,2008-01-01,6445
"Retailers in hardware,paint and glass",At constant prices,Actual values,2,2008,February,2008-02-01,7838
"Retailers in hardware,paint and glass",At constant prices,Actual values,3,2008,March,2008-03-01,7824
"Retailers in hardware,paint and glass",At constant prices,Actual values,4,2008,April,2008-04-01,8085
"Retailers in hardware,paint and glass",At constant prices,Actual values,5,2008,May,2008-05-01,8089
"Retailers in hardware,paint and glass",At constant prices,Actual values,6,2008,June,2008-06-01,8003
"Retailers in hardware,paint and glass",At constant prices,Actual values,7,2008,July,2008-07-01,7758
"Retailers in hardware,paint and glass",At constant prices,Actual values,8,2008,August,2008-08-01,7653
"Retailers in hardware,paint and glass",At constant prices,Actual values,9,2008,September,2008-09-01,7440
"Retailers in hardware,paint and glass",At constant prices,Actual values,10,2008,October,2008-10-01,7955
"Retailers in hardware,paint and glass",At constant prices,Actual values,11,2008,November,2008-11-01,7970
"Retailers in hardware,paint and glass",At constant prices,Actual values,12,2008,December,2008-12-01,7063
"Retailers in hardware,paint and glass",At constant prices,Actual values,1,2009,January,2009-01-01,6013
"Retailers in hardware,paint and glass",At constant prices,Actual values,2,2009,February,2009-02-01,6315
"Retailers in hardware,paint and glass",At constant prices,Actual values,3,2009,March,2009-03-01,6567
"Retailers in hardware,paint and glass",At constant prices,Actual values,4,2009,April,2009-04-01,5925
"Retailers in hardware,paint and glass",At constant prices,Actual values,5,2009,May,2009-05-01,6535
"Retailers in hardware,paint and glass",At constant prices,Actual values,6,2009,June,2009-06-01,6385
"Retailers in hardware,paint and glass",At constant prices,Actual values,7,2009,July,2009-07-01,6642
"Retailers in hardware,paint and glass",At constant prices,Actual values,8,2009,August,2009-08-01,5902
"Retailers in hardware,paint and glass",At constant prices,Actual values,9,2009,September,2009-09-01,6096
"Retailers in hardware,paint and glass",At constant prices,Actual values,10,2009,October,2009-10-01,6573
"Retailers in hardware,paint and glass",At constant prices,Actual values,11,2009,November,2009-11-01,6183
"Retailers in hardware,paint and glass",At constant prices,Actual values,12,2009,December,2009-12-01,6537
"Retailers in hardware,paint and glass",At constant prices,Actual values,1,2010,January,2010-01-01,5038
"Retailers in hardware,paint and glass",At constant prices,Actual values,2,2010,February,2010-02-01,5496
"Retailers in hardware,paint and glass",At constant prices,Actual values,3,2010,March,2010-03-01,6053
"Retailers in hardware,paint and glass",At constant prices,Actual values,4,2010,April,2010-04-01,5577
"Retailers in hardware,paint and glass",At constant prices,Actual values,5,2010,May,2010-05-01,6577
"Retailers in hardware,paint and glass",At constant prices,Actual values,6,2010,June,2010-06-01,6209
"Retailers in hardware,paint and glass",At constant prices,Actual values,7,2010,July,2010-07-01,6370
"Retailers in hardware,paint and glass",At constant prices,Actual values,8,2010,August,2010-08-01,6429
"Retailers in hardware,paint and glass",At constant prices,Actual values,9,2010,September,2010-09-01,6121
"Retailers in hardware,paint and glass",At constant prices,Actual values,10,2010,October,2010-10-01,6647
"Retailers in hardware,paint and glass",At constant prices,Actual values,11,2010,November,2010-11-01,7051
"Retailers in hardware,paint and glass",At constant prices,Actual values,12,2010,December,2010-12-01,7144
"Retailers in hardware,paint and glass",At constant prices,Actual values,1,2011,January,2011-01-01,5938
"Retailers in hardware,paint and glass",At constant prices,Actual values,2,2011,February,2011-02-01,6521
"Retailers in hardware,paint and glass",At constant prices,Actual values,3,2011,March,2011-03-01,6547
"Retailers in hardware,paint and glass",At constant prices,Actual values,4,2011,April,2011-04-01,6019
"Retailers in hardware,paint and glass",At constant prices,Actual values,5,2011,May,2011-05-01,6294
"Retailers in hardware,paint and glass",At constant prices,Actual values,6,2011,June,2011-06-01,6414
"Retailers in hardware,paint and glass",At constant prices,Actual values,7,2011,July,2011-07-01,6882
"Retailers in hardware,paint and glass",At constant prices,Actual values,8,2011,August,2011-08-01,6755
"Retailers in hardware,paint and glass",At constant prices,Actual values,9,2011,September,2011-09-01,6944
"Retailers in hardware,paint and glass",At constant prices,Actual values,10,2011,October,2011-10-01,7563
"Retailers in hardware,paint and glass",At constant prices,Actual values,11,2011,November,2011-11-01,7995
"Retailers in hardware,paint and glass",At constant prices,Actual values,12,2011,December,2011-12-01,7386
"Retailers in hardware,paint and glass",At constant prices,Actual values,1,2012,January,2012-01-01,6169
"Retailers in hardware,paint and glass",At constant prices,Actual values,2,2012,February,2012-02-01,6777
"Retailers in hardware,paint and glass",At constant prices,Actual values,3,2012,March,2012-03-01,6559
"Retailers in hardware,paint and glass",At constant prices,Actual values,4,2012,April,2012-04-01,6422
"Retailers in hardware,paint and glass",At constant prices,Actual values,5,2012,May,2012-05-01,6978
"Retailers in hardware,paint and glass",At constant prices,Actual values,6,2012,June,2012-06-01,6743
"Retailers in hardware,paint and glass",At constant prices,Actual values,7,2012,July,2012-07-01,6843
"Retailers in hardware,paint and glass",At constant prices,Actual values,8,2012,August,2012-08-01,7511
"Retailers in hardware,paint and glass",At constant prices,Actual values,9,2012,September,2012-09-01,7285
"Retailers in hardware,paint and glass",At constant prices,Actual values,10,2012,October,2012-10-01,7697
"Retailers in hardware,paint and glass",At constant prices,Actual values,11,2012,November,2012-11-01,8390
"Retailers in hardware,paint and glass",At constant prices,Actual values,12,2012,December,2012-12-01,7396
"Retailers in hardware,paint and glass",At constant prices,Actual values,1,2013,January,2013-01-01,5949
"Retailers in hardware,paint and glass",At constant prices,Actual values,2,2013,February,2013-02-01,7058
"Retailers in hardware,paint and glass",At constant prices,Actual values,3,2013,March,2013-03-01,6902
"Retailers in hardware,paint and glass",At constant prices,Actual values,4,2013,April,2013-04-01,6702
"Retailers in hardware,paint and glass",At constant prices,Actual values,5,2013,May,2013-05-01,7445
"Retailers in hardware,paint and glass",At constant prices,Actual values,6,2013,June,2013-06-01,7209
"Retailers in hardware,paint and glass",At constant prices,Actual values,7,2013,July,2013-07-01,7617
"Retailers in hardware,paint and glass",At constant prices,Actual values,8,2013,August,2013-08-01,7859
"Retailers in hardware,paint and glass",At constant prices,Actual values,9,2013,September,2013-09-01,7462
"Retailers in hardware,paint and glass",At constant prices,Actual values,10,2013,October,2013-10-01,7932
"Retailers in hardware,paint and glass",At constant prices,Actual values,11,2013,November,2013-11-01,8769
"Retailers in hardware,paint and glass",At constant prices,Actual values,12,2013,December,2013-12-01,8543
"Retailers in hardware,paint and glass",At constant prices,Actual values,1,2014,January,2014-01-01,6523
"Retailers in hardware,paint and glass",At constant prices,Actual values,2,2014,February,2014-02-01,7288
"Retailers in hardware,paint and glass",At constant prices,Actual values,3,2014,March,2014-03-01,7093
"Retailers in hardware,paint and glass",At constant prices,Actual values,4,2014,April,2014-04-01,6647
"Retailers in hardware,paint and glass",At constant prices,Actual values,5,2014,May,2014-05-01,7433
"Retailers in hardware,paint and glass",At constant prices,Actual values,6,2014,June,2014-06-01,7589
"Retailers in hardware,paint and glass",At constant prices,Actual values,7,2014,July,2014-07-01,7739
"Retailers in hardware,paint and glass",At constant prices,Actual values,8,2014,August,2014-08-01,8089
"Retailers in hardware,paint and glass",At constant prices,Actual values,9,2014,September,2014-09-01,7904
"Retailers in hardware,paint and glass",At constant prices,Actual values,10,2014,October,2014-10-01,8297
"Retailers in hardware,paint and glass",At constant prices,Actual values,11,2014,November,2014-11-01,9211
"Retailers in hardware,paint and glass",At constant prices,Actual values,12,2014,December,2014-12-01,8161
"Retailers in hardware,paint and glass",At constant prices,Actual values,1,2015,January,2015-01-01,6937
"Retailers in hardware,paint and glass",At constant prices,Actual values,2,2015,February,2015-02-01,7936
"Retailers in hardware,paint and glass",At constant prices,Actual values,3,2015,March,2015-03-01,7830
"Retailers in hardware,paint and glass",At constant prices,Actual values,4,2015,April,2015-04-01,7279
"Retailers in hardware,paint and glass",At constant prices,Actual values,5,2015,May,2015-05-01,7789
"Retailers in hardware,paint and glass",At constant prices,Actual values,6,2015,June,2015-06-01,7877
"Retailers in hardware,paint and glass",At constant prices,Actual values,7,2015,July,2015-07-01,8230
"Retailers in hardware,paint and glass",At constant prices,Actual values,8,2015,August,2015-08-01,8354
"Retailers in hardware,paint and glass",At constant prices,Actual values,9,2015,September,2015-09-01,7997
"Retailers in hardware,paint and glass",At constant prices,Actual values,10,2015,October,2015-10-01,8496
"Retailers in hardware,paint and glass",At constant prices,Actual values,11,2015,November,2015-11-01,9605
"Retailers in hardware,paint and glass",At constant prices,Actual values,12,2015,December,2015-12-01,8624
"Retailers in hardware,paint and glass",At constant prices,Actual values,1,2016,January,2016-01-01,7186
"Retailers in hardware,paint and glass",At constant prices,Actual values,2,2016,February,2016-02-01,8114
"Retailers in hardware,paint and glass",At constant prices,Actual values,3,2016,March,2016-03-01,7636
"Retailers in hardware,paint and glass",At constant prices,Actual values,4,2016,April,2016-04-01,7745
"Retailers in hardware,paint and glass",At constant prices,Actual values,5,2016,May,2016-05-01,8295
"Retailers in hardware,paint and glass",At constant prices,Actual values,6,2016,June,2016-06-01,7918
"Retailers in hardware,paint and glass",At constant prices,Actual values,7,2016,July,2016-07-01,8310
"Retailers in hardware,paint and glass",At constant prices,Actual values,8,2016,August,2016-08-01,8611
"Retailers in hardware,paint and glass",At constant prices,Actual values,9,2016,September,2016-09-01,8390
"Retailers in hardware,paint and glass",At constant prices,Actual values,10,2016,October,2016-10-01,9072
"Retailers in hardware,paint and glass",At constant prices,Actual values,11,2016,November,2016-11-01,9772
"Retailers in hardware,paint and glass",At constant prices,Actual values,12,2016,December,2016-12-01,8886
"Retailers in hardware,paint and glass",At constant prices,Actual values,1,2017,January,2017-01-01,7212
"Retailers in hardware,paint and glass",At constant prices,Actual values,2,2017,February,2017-02-01,7767
"Retailers in hardware,paint and glass",At constant prices,Actual values,3,2017,March,2017-03-01,7805
"Retailers in hardware,paint and glass",At constant prices,Actual values,4,2017,April,2017-04-01,7668
"Retailers in hardware,paint and glass",At constant prices,Actual values,5,2017,May,2017-05-01,7909
"Retailers in hardware,paint and glass",At constant prices,Actual values,6,2017,June,2017-06-01,7577
"Retailers in hardware,paint and glass",At constant prices,Actual values,7,2017,July,2017-07-01,8377
"Retailers in hardware,paint and glass",At constant prices,Actual values,8,2017,August,2017-08-01,8840
"Retailers in hardware,paint and glass",At constant prices,Actual values,9,2017,September,2017-09-01,8054
"Retailers in hardware,paint and glass",At constant prices,Actual values,10,2017,October,2017-10-01,8841
"Retailers in hardware,paint and glass",At constant prices,Actual values,11,2017,November,2017-11-01,9644
"Retailers in hardware,paint and glass",At constant prices,Actual values,12,2017,December,2017-12-01,9243
"Retailers in hardware,paint and glass",At constant prices,Actual values,1,2018,January,2018-01-01,7303
"Retailers in hardware,paint and glass",At constant prices,Actual values,2,2018,February,2018-02-01,7695
"Retailers in hardware,paint and glass",At constant prices,Actual values,3,2018,March,2018-03-01,7739
"Retailers in hardware,paint and glass",At constant prices,Actual values,4,2018,April,2018-04-01,7481
"Retailers in hardware,paint and glass",At constant prices,Actual values,5,2018,May,2018-05-01,7900
"Retailers in hardware,paint and glass",At constant prices,Actual values,6,2018,June,2018-06-01,7568
"Retailers in hardware,paint and glass",At constant prices,Actual values,7,2018,July,2018-07-01,7940
"Retailers in hardware,paint and glass",At constant prices,Actual values,8,2018,August,2018-08-01,8610
"Retailers in hardware,paint and glass",At constant prices,Actual values,9,2018,September,2018-09-01,7779
"Retailers in hardware,paint and glass",At constant prices,Actual values,10,2018,October,2018-10-01,8763
"Retailers in hardware,paint and glass",At constant prices,Actual values,11,2018,November,2018-11-01,9484
"Retailers in hardware,paint and glass",At constant prices,Actual values,12,2018,December,2018-12-01,8872
"Retailers in hardware,paint and glass",At constant prices,Actual values,1,2019,January,2019-01-01,7067
"Retailers in hardware,paint and glass",At constant prices,Actual values,2,2019,February,2019-02-01,7625
"Retailers in hardware,paint and glass",At constant prices,Actual values,3,2019,March,2019-03-01,7745
"Retailers in hardware,paint and glass",At constant prices,Actual values,4,2019,April,2019-04-01,7440
"Retailers in hardware,paint and glass",At constant prices,Actual values,5,2019,May,2019-05-01,7942
"Retailers in hardware,paint and glass",At constant prices,Actual values,6,2019,June,2019-06-01,7457
"Retailers in hardware,paint and glass",At constant prices,Actual values,7,2019,July,2019-07-01,7843
"Retailers in hardware,paint and glass",At constant prices,Actual values,8,2019,August,2019-08-01,8482
"Retailers in hardware,paint and glass",At constant prices,Actual values,9,2019,September,2019-09-01,7818
"Retailers in hardware,paint and glass",At constant prices,Actual values,10,2019,October,2019-10-01,8544
"Retailers in hardware,paint and glass",At constant prices,Actual values,11,2019,November,2019-11-01,9407
"Retailers in hardware,paint and glass",At constant prices,Actual values,12,2019,December,2019-12-01,8560
"Retailers in hardware,paint and glass",At constant prices,Actual values,1,2020,January,2020-01-01,6764
"Retailers in hardware,paint and glass",At constant prices,Actual values,2,2020,February,2020-02-01,7579
"Retailers in hardware,paint and glass",At constant prices,Actual values,3,2020,March,2020-03-01,7714
"Retailers in hardware,paint and glass",At constant prices,Actual values,4,2020,April,2020-04-01,876
"Retailers in hardware,paint and glass",At constant prices,Actual values,5,2020,May,2020-05-01,8157
"Retailers in hardware,paint and glass",At constant prices,Actual values,6,2020,June,2020-06-01,7932
"Retailers in hardware,paint and glass",At constant prices,Actual values,7,2020,July,2020-07-01,8679
"Retailers in hardware,paint and glass",At constant prices,Actual values,8,2020,August,2020-08-01,9845
"Retailers in hardware,paint and glass",At constant prices,Actual values,9,2020,September,2020-09-01,8804
"Retailers in hardware,paint and glass",At constant prices,Actual values,10,2020,October,2020-10-01,9090
"Retailers in hardware,paint and glass",At constant prices,Actual values,11,2020,November,2020-11-01,10329
"Retailers in hardware,paint and glass",At constant prices,Actual values,12,2020,December,2020-12-01,9309
"Retailers in hardware,paint and glass",At constant prices,Actual values,1,2021,January,2021-01-01,8495
"Retailers in hardware,paint and glass",At constant prices,Actual values,2,2021,February,2021-02-01,8169
"Retailers in hardware,paint and glass",At constant prices,Actual values,3,2021,March,2021-03-01,8337
"Retailers in hardware,paint and glass",At constant prices,Actual values,4,2021,April,2021-04-01,7825
"Retailers in hardware,paint and glass",At constant prices,Actual values,5,2021,May,2021-05-01,8904
"Retailers in hardware,paint and glass",At constant prices,Actual values,6,2021,June,2021-06-01,8183
"Retailers in hardware,paint and glass",At constant prices,Actual values,7,2021,July,2021-07-01,8142
"Retailers in hardware,paint and glass",At constant prices,Actual values,8,2021,August,2021-08-01,9100
"Retailers in hardware,paint and glass",At constant prices,Actual values,9,2021,September,2021-09-01,8789
"Retailers in hardware,paint and glass",At constant prices,Actual values,10,2021,October,2021-10-01,8999
"Retailers in hardware,paint and glass",At constant prices,Actual values,11,2021,November,2021-11-01,9700
"Retailers in hardware,paint and glass",At constant prices,Actual values,12,2021,December,2021-12-01,8828
"Retailers in hardware,paint and glass",At constant prices,Actual values,1,2022,January,2022-01-01,7467
"Retailers in hardware,paint and glass",At constant prices,Actual values,2,2022,February,2022-02-01,7757
"Retailers in hardware,paint and glass",At constant prices,Actual values,3,2022,March,2022-03-01,7597
"Retailers in hardware,paint and glass",At constant prices,Actual values,4,2022,April,2022-04-01,7059
"Retailers in hardware,paint and glass",At constant prices,Actual values,5,2022,May,2022-05-01,8283
"Retailers in hardware,paint and glass",At constant prices,Actual values,6,2022,June,2022-06-01,7662
"Retailers in hardware,paint and glass",At constant prices,Actual values,7,2022,July,2022-07-01,8187
"Retailers in hardware,paint and glass",At constant prices,Actual values,8,2022,August,2022-08-01,8320
"Retailers in hardware,paint and glass",At constant prices,Actual values,9,2022,September,2022-09-01,8166
"Retailers in hardware,paint and glass",At constant prices,Actual values,10,2022,October,2022-10-01,8503
"Retailers in hardware,paint and glass",At constant prices,Actual values,11,2022,November,2022-11-01,9107
"Retailers in hardware,paint and glass",At constant prices,Actual values,12,2022,December,2022-12-01,8243
"Retailers in hardware,paint and glass",At constant prices,Actual values,1,2023,January,2023-01-01,6995
"Retailers in hardware,paint and glass",At constant prices,Actual values,2,2023,February,2023-02-01,7168
"Retailers in hardware,paint and glass",At constant prices,Actual values,3,2023,March,2023-03-01,7385
"Retailers in hardware,paint and glass",At constant prices,Actual values,4,2023,April,2023-04-01,7391
"Retailers in hardware,paint and glass",At constant prices,Actual values,5,2023,May,2023-05-01,7669
"Retailers in hardware,paint and glass",At constant prices,Actual values,6,2023,June,2023-06-01,7014
"Retailers in hardware,paint and glass",At constant prices,Actual values,7,2023,July,2023-07-01,7538
"Retailers in hardware,paint and glass",At constant prices,Actual values,8,2023,August,2023-08-01,7861
"Retailers in hardware,paint and glass",At constant prices,Actual values,9,2023,September,2023-09-01,7742
"Retailers in hardware,paint and glass",At constant prices,Actual values,10,2023,October,2023-10-01,7891
"Retailers in hardware,paint and glass",At constant prices,Actual values,11,2023,November,2023-11-01,8693
"Retailers in hardware,paint and glass",At constant prices,Actual values,12,2023,December,2023-12-01,8043
"Retailers in hardware,paint and glass",At constant prices,Actual values,1,2024,January,2024-01-01,6604
"Retailers in hardware,paint and glass",At constant prices,Actual values,2,2024,February,2024-02-01,6965
"Retailers in hardware,paint and glass",At constant prices,Actual values,3,2024,March,2024-03-01,6976
"Retailers in hardware,paint and glass",At constant prices,Actual values,4,2024,April,2024-04-01,7119
"Retailers in hardware,paint and glass",At constant prices,Actual values,5,2024,May,2024-05-01,7841
"Retailers in hardware,paint and glass",At constant prices,Actual values,6,2024,June,2024-06-01,6918
"Retailers in hardware,paint and glass",At constant prices,Actual values,7,2024,July,2024-07-01,7140
"Retailers in hardware,paint and glass",At constant prices,Actual values,8,2024,August,2024-08-01,7552
"Retailers in hardware,paint and glass",At constant prices,Actual values,9,2024,September,2024-09-01,7297
"Retailers in hardware,paint and glass",At constant prices,Actual values,10,2024,October,2024-10-01,7639
"Retailers in hardware,paint and glass",At constant prices,Actual values,11,2024,November,2024-11-01,8390
"Retailers in hardware,paint and glass",At constant prices,Actual values,12,2024,December,2024-12-01,7932
"Retailers in hardware,paint and glass",At constant prices,Actual values,1,2025,January,2025-01-01,6744
"Retailers in hardware,paint and glass",At constant prices,Actual values,2,2025,February,2025-02-01,6698
"Retailers in hardware,paint and glass",At constant prices,Actual values,3,2025,March,2025-03-01,7105
"Retailers in hardware,paint and glass",At constant prices,Actual values,4,2025,April,2025-04-01,6529
All other retailers,At constant prices,Actual values,1,2008,January,2008-01-01,8297
All other retailers,At constant prices,Actual values,2,2008,February,2008-02-01,8762
All other retailers,At constant prices,Actual values,3,2008,March,2008-03-01,8335
All other retailers,At constant prices,Actual values,4,2008,April,2008-04-01,8888
All other retailers,At constant prices,Actual values,5,2008,May,2008-05-01,8259
