CATEGORIES,Price_Type,Value_Type,MonthNum,Year,Month_Name,Date,Sales_R_Millions
General dealers,At constant prices,Actual values,12,2014,December,2014-12-01,52982
General dealers,At constant prices,Actual values,1,2015,January,2015-01-01,36025
General dealers,At constant prices,Actual values,2,2015,February,2015-02-01,36877
General dealers,At constant prices,Actual values,3,2015,March,2015-03-01,38233
General dealers,At constant prices,Actual values,4,2015,April,2015-04-01,36169
General dealers,At constant prices,Actual values,5,2015,May,2015-05-01,38659
General dealers,At constant prices,Actual values,6,2015,June,2015-06-01,38318
General dealers,At constant prices,Actual values,7,2015,July,2015-07-01,36492
General dealers,At constant prices,Actual values,8,2015,August,2015-08-01,39404
General dealers,At constant prices,Actual values,9,2015,September,2015-09-01,39663
General dealers,At constant prices,Actual values,10,2015,October,2015-10-01,37846
General dealers,At constant prices,Actual values,11,2015,November,2015-11-01,41680
General dealers,At constant prices,Actual values,12,2015,December,2015-12-01,55278
General dealers,At constant prices,Actual values,1,2016,January,2016-01-01,36723
General dealers,At constant prices,Actual values,2,2016,February,2016-02-01,38506
General dealers,At constant prices,Actual values,3,2016,March,2016-03-01,40291
General dealers,At constant prices,Actual values,4,2016,April,2016-04-01,35728
General dealers,At constant prices,Actual values,5,2016,May,2016-05-01,40074
General dealers,At constant prices,Actual values,6,2016,June,2016-06-01,39000
General dealers,At constant prices,Actual values,7,2016,July,2016-07-01,37300
General dealers,At constant prices,Actual values,8,2016,August,2016-08-01,39624
General dealers,At constant prices,Actual values,9,2016,September,2016-09-01,39720
General dealers,At constant prices,Actual values,10,2016,October,2016-10-01,37127
General dealers,At constant prices,Actual values,11,2016,November,2016-11-01,42599
General dealers,At constant prices,Actual values,12,2016,December,2016-12-01,53630
General dealers,At constant prices,Actual values,1,2017,January,2017-01-01,35821
General dealers,At constant prices,Actual values,2,2017,February,2017-02-01,38539
General dealers,At constant prices,Actual values,3,2017,March,2017-03-01,39965
General dealers,At constant prices,Actual values,4,2017,April,2017-04-01,37481
General dealers,At constant prices,Actual values,5,2017,May,2017-05-01,40252
General dealers,At constant prices,Actual values,6,2017,June,2017-06-01,39726
General dealers,At constant prices,Actual values,7,2017,July,2017-07-01,36604
General dealers,At constant prices,Actual values,8,2017,August,2017-08-01,40461
General dealers,At constant prices,Actual values,9,2017,September,2017-09-01,41319
General dealers,At constant prices,Actual values,10,2017,October,2017-10-01,37391
General dealers,At constant prices,Actual values,11,2017,November,2017-11-01,44842
General dealers,At constant prices,Actual values,12,2017,December,2017-12-01,55363
General dealers,At constant prices,Actual values,1,2018,January,2018-01-01,36399
General dealers,At constant prices,Actual values,2,2018,February,2018-02-01,39613
General dealers,At constant prices,Actual values,3,2018,March,2018-03-01,41085
General dealers,At constant prices,Actual values,4,2018,April,2018-04-01,36887
General dealers,At constant prices,Actual values,5,2018,May,2018-05-01,39990
General dealers,At constant prices,Actual values,6,2018,June,2018-06-01,39931
General dealers,At constant prices,Actual values,7,2018,July,2018-07-01,36872
General dealers,At constant prices,Actual values,8,2018,August,2018-08-01,41269
General dealers,At constant prices,Actual values,9,2018,September,2018-09-01,41198
General dealers,At constant prices,Actual values,10,2018,October,2018-10-01,37669
General dealers,At constant prices,Actual values,11,2018,November,2018-11-01,45883
General dealers,At constant prices,Actual values,12,2018,December,2018-12-01,54252
General dealers,At constant prices,Actual values,1,2019,January,2019-01-01,36930
General dealers,At constant prices,Actual values,2,2019,February,2019-02-01,40363
General dealers,At constant prices,Actual values,3,2019,March,2019-03-01,41851
General dealers,At constant prices,Actual values,4,2019,April,2019-04-01,37616
